級別,日文名稱,日文拼音,類別,中文意思,詞性
N1,危ぶむ,あやぶむ,單字,感到危險,動詞
N1,案じる,あんじる,單字,擔心,動詞
N1,歪む,ゆ/いがむ,單字,歪,動詞
N1,営む,いとなむ,單字,經營、從事,動詞
N1,挑む,いどむ,單字,挑戰,動詞
N1,承る,うけたまわる,單字,承接,動詞
N1,俯く,うつむく,單字,向下看,動詞
N1,頷く,うなずく,單字,點頭,動詞
N1,唸る,うなる,單字,呻吟、讚嘆,動詞
N1,煽てる,おだてる,單字,慫恿,動詞
N1,劣る,おとる,單字,比不上、不如,動詞
N1,衰える,おとろえる,單字,衰退,動詞
N1,怯える,おびえる,單字,害怕、恐懼,動詞
N1,省みる,かえりみる,單字,反省,動詞
N1,顧みる.,かえりみる.,單字,回顧、在意,動詞
N1,掻き回す,かきまわす,單字,攪拌,動詞
N1,,かさむ,單字,增加、變多,動詞
N1,,かぶれる,單字,發炎、紅腫,動詞
N1,着飾る,きかざる,單字,打扮,動詞
N1,築く,きずく,單字,蓋、築起,動詞
N1,鍛える,きたえる,單字,鍛鍊,動詞
N1,興じる,きょうじる,單字,享受、享樂,動詞
N1,食い違う,くいちがう,單字,不一致,動詞
N1,朽ちる,くちる,單字,腐朽,動詞
N1,覆す,くつがえす,單字,顛覆,動詞
N1,蹴飛ばす,けとばす,單字,踢飛,動詞
N1,貶す,けなす,單字,貶低,動詞
N1,凝らす,こらす,單字,凝聚、集中,動詞
N1,,さえずる,單字,鳥鳴,動詞
N1,栄える,さかえる,單字,繁榮,動詞
N1,差し支える,さしつかえる,單字,有關係、受影響,動詞
N1,授ける,さずける,單字,授予,動詞
N1,定まる,さだまる,單字,訂定,動詞
N1,,さらう,單字,綁架,動詞
N1,強いる,しいる,單字,強迫,動詞
N1,,しくじる,單字,失敗,動詞
N1,親しむ,したしむ,單字,親近,動詞
N1,躾ける,しつける,單字,訓練、教育,動詞
N1,準ずる,じゅんずる,單字,以...為準,動詞
N1,掬う,すくう,單字,撈,動詞
N1,沿う,そう,單字,沿著,動詞
N1,即する,そくする,單字,就、符合,動詞
N1,備わる,そなわる,單字,具備,動詞
N1,聳える,そびえる,單字,聳立,動詞
N1,染まる,そまる,單字,(自)染上（顏色）,動詞
N1,染める,そめる,單字,(他)染上（顏色）,動詞
N1,背く,そむく,單字,違背、背叛,動詞
N1,携わる,たずさわる,單字,從事,動詞
N1,漂う,ただよう,單字,漂、飄,動詞
N1,立ち去る,たちさる,單字,離開,動詞
N1,脱する,だっする,單字,脫離,動詞
N1,立て替える,たてかえる,單字,代墊,動詞
N1,辿る,たどる,單字,跟著、追尋,動詞
N1,賜る,たまわる,單字,受賜,動詞
N1,保つ,たもつ,單字,保持,動詞
N1,弛む,たるむ,單字,鬆弛,動詞
N1,費やす,ついやす,單字,花費,動詞
N1,仕える,つかえる,單字,服侍、侍奉,動詞
N1,司る,つかさどる,單字,掌管、掌控,動詞
N1,謹む,つつしむ,單字,恭謹,動詞
N1,突っ突く,つっつく,單字,戳、捅,動詞
N1,突っ張る,つっぱる,單字,撐著、緊繃,動詞
N1,,つねる,單字,捏、掐,動詞
N1,募る,つのる,單字,招募,動詞
